name,datetime,Temperature,Dew,Humidity,Rainfall,preciptype,windspeed,winddir,Pressure,cloudcover,visibility
kalyani,2016-01-01,19.1,14.4,78,0,,7.6,9.9,1018.3,1.5,2.5
kalyani,2016-01-02,19.7,15.1,77.7,0,,7.6,346.1,1017.6,6.3,2.4
kalyani,2016-01-03,19.6,16.1,81.5,0,,9.4,5.3,1016.4,8.6,2.3
kalyani,2016-01-04,19.4,14.7,77,0,,9.4,18.9,1017.2,0.6,2.1
kalyani,2016-01-05,18.7,14.6,79.4,0,,5.4,20.3,1016,0.2,2.5
kalyani,2016-01-06,19.1,14.3,76.7,0,,9.4,0.3,1016.3,0,2.6
kalyani,2016-01-07,19.7,15.1,77.6,0,,7.6,99,1016.7,19.7,2.2
kalyani,2016-01-08,21.2,17.1,78.9,0,,9.4,239.7,1014.6,8.4,2.4
kalyani,2016-01-09,22.3,16.5,73.2,0,,7.6,316,1012.5,12.7,2.5
kalyani,2016-01-10,20.8,12.3,61.9,0,,18.4,22.9,1015.6,0.2,2.8
kalyani,2016-01-11,19.2,12.2,67.2,0,,13,321.3,1015.7,6.9,3.1
kalyani,2016-01-12,18.9,12.6,70,0,,11.2,340.7,1014.6,2.4,2.9
kalyani,2016-01-13,18.8,13,72.5,0,,11.2,346.9,1013.6,0.3,2.8
kalyani,2016-01-14,19.2,13.6,73.4,0,,9.4,83.7,1014.2,5,2.8
kalyani,2016-01-15,20.4,14.1,71.1,0,,11.2,230.3,1012.4,1.9,2.9
kalyani,2016-01-16,21.1,14,67.7,0,,13,21.1,1011.8,4.2,2.9
kalyani,2016-01-17,20.6,14.4,70.5,0,,14.8,20.8,1013.1,12.6,2.6
kalyani,2016-01-18,21,13.9,67.7,0,,9.4,36.3,1012.7,10.4,2.9
kalyani,2016-01-19,20.7,14.5,69.9,0,,9.4,101.1,1012.5,24.7,2.6
kalyani,2016-01-20,19.9,17.9,88.9,0.167,rain,14.8,27.3,1013.3,68.9,2.2
kalyani,2016-01-21,19.2,15.3,79.7,0,,14.8,354,1015.8,38.3,2.8
kalyani,2016-01-22,16.8,12.3,76.9,0,,18.4,353,1017.1,0.8,3.1
kalyani,2016-01-23,16,10.8,74.3,0,,16.6,9.3,1018.1,3.4,2.7
kalyani,2016-01-24,15.4,9.7,72,0,,14.8,6.5,1017.6,0.2,2.7
kalyani,2016-01-25,16.5,9.7,68.3,0,,13,338.5,1015.4,0.2,2.7
kalyani,2016-01-26,17.4,10.8,69.6,0,,11.2,8.3,1015,2.7,2.9
