name,datetime,tempmax,tempmin,temp,humidity,rainfall,pressure,
kalyani,2018-01-01,24.1,15,19,74.4,0,1011.4,
kalyani,2018-01-02,24.1,13,18.1,76.6,0,1010.9,
kalyani,2018-01-03,24,13,17.7,69.7,0,1011.8,
kalyani,2018-01-04,21,11,15.3,75.5,0,1014.1,
kalyani,2018-01-05,22.1,10,14.8,75.1,0,1012.6,
kalyani,2018-01-06,23.1,10,15.8,65.9,0,1011.8,
kalyani,2018-01-07,22.3,9,15.1,64.1,0,1013.4,
kalyani,2018-01-08,21,9,14.3,74.4,0,1015.6,
kalyani,2018-01-09,22.1,10,15.3,69.2,0,1016.4,
kalyani,2018-01-10,22.9,9,15.8,69.6,0,1016,
kalyani,2018-01-11,22,10,15.2,75,0,1014.9,
kalyani,2018-01-12,22.1,9,15.5,77.5,0,1013.9,
kalyani,2018-01-13,21,11,15.4,76.1,0,1013.7,
kalyani,2018-01-14,21,11,15.5,82.3,0,1014.4,
kalyani,2018-01-15,24,10,15.9,75.4,0,1013.8,
kalyani,2018-01-16,24,11,16.5,75,0,1013,
kalyani,2018-01-17,24.2,11,16.8,69.2,0,1013.1,
kalyani,2018-01-18,25.7,11,17.9,67.6,0,1013.5,
kalyani,2018-01-19,24.7,12,16.9,67.1,0,1014,
kalyani,2018-01-20,26,11,18.2,65.9,0,1012.9,
kalyani,2018-01-21,26.6,12,18.5,66.4,0,1012.8,
kalyani,2018-01-22,25,11,17.3,67.9,0,1012,
kalyani,2018-01-23,27,11,18.4,64,0,1011,
kalyani,2018-01-24,29,13,20.2,70.4,0,1009.2,
kalyani,2018-01-25,26.8,15.5,20.6,63.2,0,1009.8,
kalyani,2018-01-26,27,13,19.7,60.6,0,1011.2,
kalyani,2018-01-27,24.3,14,18.1,65,0,1012.3,
kalyani,2018-01-28,27,11,18.1,66.7,0,1013.1,
kalyani,2018-01-29,27,12.3,19.1,64.5,0,1013.6,
kalyani,2018-01-30,26.6,13,19.3,64.7,0,1012.1,
kalyani,2018-01-31,28,14,20.6,64.9,0,1010.9,
kalyani,2018-02-01,26,14.2,20.1,66.1,0,1011.5,
kalyani,2018-02-02,27,15,20.5,68.3,0,1011.7,
kalyani,2018-02-03,30,14,22.1,65,0,1012.7,
kalyani,2018-02-04,31,18,23.9,66.8,0,1012.4,
kalyani,2018-02-05,29,19.8,23.6,78.5,0,1014.7,
kalyani,2018-02-06,30,18,23.5,63.6,0,1013.5,
kalyani,2018-02-07,32.2,16,24,54.8,0,1011.3,
kalyani,2018-02-08,29,20.3,24,54.4,0,1011,
kalyani,2018-02-09,31,17.8,23.9,62.4,0,1011,
kalyani,2018-02-10,29,19.5,23.9,58.4,0,1014.1,
kalyani,2018-02-11,28.8,18,22.5,52.8,0,1015.9,
kalyani,2018-02-12,30,15.9,22.2,55.7,0,1017.1,
kalyani,2018-02-13,28.8,15.7,22.1,60.9,0,1017.6,
kalyani,2018-02-14,28.2,19,23.3,60.3,0,1017.1,
kalyani,2018-02-15,27.5,17,22.1,61.6,0,1017.7,
kalyani,2018-02-16,28,15.8,21.9,56.6,0,1015.5,
kalyani,2018-02-17,28.8,16,21.6,66.2,0,1011.6,
kalyani,2018-02-18,31,19,24.2,56.1,0,1011.2,
kalyani,2018-02-19,32,17.5,24,61.5,0,1011.8,
kalyani,2018-02-20,32,19,24.6,65.4,0,1011.4,
kalyani,2018-02-21,31.2,19.1,25.4,66.6,0,1009.8,
kalyani,2018-02-22,32.3,21,25.5,66,0,1009.5,
kalyani,2018-02-23,34,19,26.2,61.4,0,1010.1,
kalyani,2018-02-24,35,21,27,62.5,0,1011.9,
kalyani,2018-02-25,36,21,27.7,58.3,0,1011.2,
kalyani,2018-02-26,34,22.9,27.5,54.6,0,1010.3,
kalyani,2018-02-27,32.7,21,26.6,70.5,0,1010.9,
kalyani,2018-02-28,33,22.3,26.9,65.1,0,1010.6,
kalyani,2018-03-01,33,22.5,26.7,68.5,0,1010,
kalyani,2018-03-02,35,21,27.7,59.8,0,1008.3,
kalyani,2018-03-03,36,24,29,57.3,0,1006.2,
kalyani,2018-03-04,36,22,28.7,61.1,0,1007.2,
kalyani,2018-03-05,35,23.3,27.9,64,0,1009.3,
kalyani,2018-03-06,34,23.9,28.6,48,0,1009.8,
kalyani,2018-03-07,33,21,26.5,46.3,0,1011.3,
kalyani,2018-03-08,35,17.3,25.7,46.7,0,1011.6,
kalyani,2018-03-09,34,19,25.4,54.1,0,1010.9,
